Accident ID,Event Type,Industry Type,Accident Description,Domino Effects,Natech Events,Transboundary Effects,Contractors,Release Major Occurrences,Release Initiating Event,Fire Major Occurences,Fire Initiating Events,Explosion Major Occurences,Explosion Initiating Events,Transport Major Occurences,Transport Initiating Events,Accident Description - Other,Substance Classification,Causes of the accident,Plant/Equipment Causative Factor Type,Human,Organizational Causative Factor Type,External Causes,Causes - Other,Theme of the Lessons Learned,Lesson Learned
2,Major Accident,Processing of metals using electrolytic or chemical processes,"At 5:30 ;am on Monday, 13 ;April 2015, workers discovered a fire in a skip for mixed municipal waste.It could not be extinguished with fire extinguishers.Because of the unfavourable wind conditions, the flames spread to the building (the container was over five metres from the building).
The electroplating plant and the assembly and shipping departments were completely destroyed.The injection moulding hall and the offices suffered less damage.
– Response by the fire service;– Implementation of disaster management;– Outdoor air pollution measurements (no toxic gases were detected, only combustion products from burning plastic) ;
– Response by the planning office;– Extensive initial inspections by specialist cleaning firms and a specialist waste disposal firm to assess the situation and further coordinate the clean-up operation;– Waste disposal and cleaning by specialist firms in the injection moulding department. ;– Deployment of special chemical binders, high-pressure cleaners and scrubber dryers.
The health of workers at the plant was at no point in danger.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,conflagration (a general engulfment fire),,,,,,,00. NAMED SUBSTANCE,The cause was assumed to be arson by negligence.,,other,,,,Causes - Organisational,Smoking ban in outdoor areas. The business will move to a new site with a new permit under the Federal Immission Control Act (BImSchG).
3,Major Accident,General chemicals manufacture (not otherwise specified int the list),"A hole formed in a chemical wastewater shaft, resulting in the release of contaminated chemical wastewater into the soil. The shaft is fitted with a protective coating (acid-proof liner and lead coating). ;
– A mobile gas measurement device was activated during a site inspection by the operator.– All shafts on the site were inspected.– The wastewater register was updated to include the substance acetonitrile.– Clarification of further measures with the regional government office and professional specialists.",FALSE,FALSE,FALSE,FALSE,"fluid release to ground
fluid release to water",,,,,,,,,07 b. HIGHLY FLAMMABLE - note 3(b)(2),"– Damage to the inlet shaft went unnoticed.– Deficient inspection routine. The root causes can be traced to two sources. Firstly, the restructuring following a change of operator when the site was bought in 2003 plays a role. As part of that process, the in-house masonry department, which had until that time carried out inspections and maintenance of the chemical wastewater shafts, was dismantled. There was a lack of awareness of what this step would mean for plant safety or of the need to replace the department. The second main cause was a lack of coordination between the operator and the VAwS expert on regular inspections. The operator was clearly not sure what exactly had to be inspected and to what extent. Moreover, the expert’s notes give little information about the testing activities, the condition of the tested equipment and equipment components and the scope of the tests. The entry ‘OK’ on testing reports provides little information without further clarification.",vessel/container/containment-equipment failure,,"testing/inspecting/recording
other",,,"Causes - Organisational
Other","Most of the chemical wastewater shafts have now been inspected and the inspections will be completed by the end of 2016; no further leaks have yet been found.In the future, all chemical wastewater shafts will be inspected on an annual basis.The authority is kept constantly informed about inspection activities and results. The lessons that can be learnt from this are:– A change of operator and associated technical and organisations changes can have a considerable impact on plant safety. Of particular importance are aspects concerning plant integrity (inspection, upkeep and maintenance). The impact on safety may not become apparent for a considerable time. The safety management system must also take into consideration organisational changes. It is recommended that such organisational changes are also taken into consideration by the authorities in conjunction with supervision.– A lack of coordination of regular inspection and testing measures may lead to incorrect interpretations when assessing the state of the equipment.– Clear findings with written descriptions and images are therefore required in order to establish the scope and detail of the inspection and the methods used. The inspection report (results) should contain a comprehensible description of the inspection carried out and an expert opinion. In particular, the results of visual inspections should be explained."
4,Near Miss,"Processing of ferrous metals (foundries, smelting, etc.)","The coke oven battery concerned comprises 70 coke ovens in parallel, each with a heating flue on either side (71 in total). Following the failure of a rod that centrally controlled the fuel gas butterfly valves on the heating flues, mixed gas flowed uncontrolled into some of the heating flues. The mixed gas got into the heating flue exhaust system, where it exploded.Following the explosion, the entire coke oven battery automatically entered safe mode, i.e. the quick-closing valves on the fuel gas feed were closed immediately.
The explosion was accompanied by a loud bang and a visible emission of dust. There were no injuries. The on-site fire service and the local fire brigade attended the scene and secured the area. There was no danger to local residents.
The exact cause of the failure of the rod is not known at present.
– Automatic safe mode;– Interruption of the fuel gas feed by closing the feed.",FALSE,FALSE,FALSE,FALSE,,,,,not known / not applicable,,,,,02. TOXIC,Failure of a rod at a weld seam,component/machinery failure/malfunction,,,,,Causes - Plant/Equipment,"In order to avoid similar disruptions, an expert was commissioned pursuant to Section ;29 of the Federal Immission Control Act (BImSchG) to review the risk analysis to identify any additional measures necessary.  The key measures are: 1. CH4 measurements in exhaust gas stack, with automatic activation of safe mode on the battery if a limit is exceeded. 2. Monitoring of the rod using a photoelectric sensor. 3. CO monitoring in the nozzle channel. 4. Hydraulic safety valve to close the gas tap. 5. New safety-oriented controls.
The primary measure taken is the activation of safe mode on the battery if the CH4 limit is exceeded."
5,Major Accident,Petrochemical / Oil Refineries,"On 3 ;July ;2015, during cleaning work on the suction strainer of a sour water pump, approximately 5 ;m3 of cracked petrol was released and ignited, causing a fire. The fire caused over EUR ;5 ;million in damage.One worker required first aid after being sprayed in the face with sour water, and three firefighters required first aid due to circulatory problems.The impact on the local environment due to smoke production was minor. The fluid catalytic cracking (FCC) unit underwent emergency shutdown; the flow of the product into the unit was interrupted.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,not known / not applicable,,,,,,,09 i. DANGEROUS FOR THE ENVIRONMENT - R50,"During maintenance work, a highly flammable liquid was released due to a gate valve that was not fully closed.Dirt had accumulated at the site of the valve, which prevented it from closing but initially indicated a closed system.Moments after the system was opened, this deposit loosened. Firstly there was a spray of sour water, which activated the personal portable hydrogen sulphide detector; this was followed by cracked petrol, which ignited on a hot surface nearby and caused the fire.",,,management organization inadequate,,,"Causes - Plant/Equipment
Causes - Human
Causes - Organisational","Lessons learned:

It is necessary to identify risks in order to introduce appropriate and robust mitigation measures, e.g. design, procedures, etc.
Dangers caused by the release of substances are not necessarily limited to the primary medium in which they are contained.
Opening the system with only a single block in the process is a risk, which requires particular consideration and for which measures appropriate to the operating permit must be introduced.
A high level of risk-awareness — including for routine work and the associated danger of risk normalisation — is required.
For hazardous activities, the worst-case scenario must be borne in mind.
Details recorded in shift logs can also assist with early identification of risks.
Tightening of a shut-off valve when the system is open can cause a sudden increase in the size of a leak.
Following training, checks are required to encourage the use of training content in the field.

Measures:

Risk awareness programme focusing on single block systems, ‘worst-case’ thinking, on-site inspection of hazardous activities, raising awareness of risk normalisation and communicating and discussing lessons learned from this incident.
Improvements in organisation and procedures: specification of more intensive risk analysis criteria as part of the operating authorisation procedure, improved communication during shift changeover, following up on training and revising the procedures concerned.

Technology: improved pipe routing and installation of a double block on these pumps, assessment of further technological measures and development of criteria for a subsequent review of technologically similar systems."
8,Near Miss,"Production, destruction and storage of explosives","Due to an internal fault in the kneading process in a kneader (kneading powder cake), an explosion occurred, resulting in a fireSafety function:Blast wall, automatic supply of extinguishing water, fire brigade automatically alerted.",FALSE,FALSE,FALSE,FALSE,,,not known / not applicable,,not known / not applicable,,,,,05. EXPLOSIVE - note 2(b),Cause could not be established.,,,,,,Causes - Plant/Equipment,Increase in plant safety through additional electronic monitoring elements (temperature sensors) and frequency sensors for online analysis of machine noise and frequency profiles.
9,Near Miss,Manufacture of food products and beverages,ammonia release (cooling system),FALSE,FALSE,FALSE,FALSE,,,,,,,,,,02. TOXIC,Damage caused by maintenance works for electric equipment near the ammonia pipe,,,maintenance/repair,,,Causes - Plant/Equipment,Improve protection of pipe and drain cock
10,Near Miss,Manufacture of food products and beverages,Ammonia release for cooling system,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,,,,,,,,02. TOXIC,After maintenance works a cable broke a valve; the location of the valve in a tunnel was very problematic,other,,design of plant/equipment/system,other,,Causes - Plant/Equipment,Construction improvements for ammonia pipesMeasures to prevent recurrence: improve pipe installation (no drain cocks in nearly inaccessible areas)Useful references: internal guidance for Austria under consideration
12,Major Accident,General chemicals manufacture (not otherwise specified int the list),"Explosion in a production line for glyoxylic acid (CAS 298-12-4) with subsequent fire; in the installation various relevant substances were present (methanol, hydrogen, peroxides). 20 workers were injured, 1 of them had to be kept in hospital. The part of the installation which contained the production line was completely destroyed, missile range ca. 150 m",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,Unclear,,,,,,,"Unclear, despite intense efforts to find the causes no concrete cause known yet; the inspecting authority has closed the installation until further notice in this respect"
14,Major Accident,Petrochemical / Oil Refineries,"Leakage of a heat exchanger and a pipe containing crude oil with subsequent fire; no fatalities, injuries or environmental damage but the affected part of the installation was the first of the whole distillation process and therefore crucial for the production - the relevant criterion for reporting was material loss.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
07 a. HIGHLY FLAMMABLE - note 3(b)(1)",Insufficient insulation at the connection of the crude oil pipe and the heat exchanger for the asymmetrical heat load in the exchanger due to crude oil with a high content of extremely light fractions,,,,,,Causes - Plant/Equipment,Insulation needs to be adapted to substance properties
15,Major Accident,Petrochemical / Oil Refineries,"Leakage of crude oil pipe due to corrosion with subsequent fire, no fatalities or injuries but production partly delayed with material loss",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
07 a. HIGHLY FLAMMABLE - note 3(b)(1)","The processed crude oil has an increased content of sulphur which was taken into account by using steel of higher quality for the pipework. When the steel was replaced, it was not done at a small part seldom used for maintenance. This part corroded and leaked, the released crude oil caught fire.","vessel/container/containment-equipment failure
corrosion/fatigue",,,,,Causes - Organisational,Improvement of checklists for works of this kind
