id,label,eid,title,acc_type,industry,start_date,days,subtype,eq_type,name_cas,factor_type,number,name,pollution_type
ACC_279,Accident,279.0,Failure of piping connecting a cargo-ship and a storage tank releasing crude benzene,Major Accident,"Handling and transportation centres (ports, airports, lorry parks, marshalling yards, etc.)",,,,,,,,,
DT_279,DateTime,,,,,2003-03-18 00:00:00,,,,,,,,
DUR_279,Duration,,,,,,1.0,,,,,,,
STAFF_279,FactoryStaff,,,,,,,,,,,,,
RELEASE_279,Release,,,,,,,fluid release to ground,,,,,,
TRANSFEREQUIPMENT_279,TransferEquipment,,,,,,,,general pipework/flanges,,,,,
SUB_279,HazardSubstance,,,,,,,,,02. TOXIC - 71-43-2 - 100000.00000,,,,
PLANTEQUIPMENTFACTOR_279,PlantEquipmentFactor,,,,,,,,,,not known / not applicable,,,
HUMANFACTOR_279,HumanFactor,,,,,,,,,,operator error,,,
ORGANIZATIONFACTOR_279,OrganizationFactor,,,,,,,,,,"organized procedures
supervision",,,
ACC_231,Accident,231.0,Explosion of ethylene chlorohydrin in the pipe connecting two tanks,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_231,DateTime,,,,,2005-09-28 14:57:00,,,,,,,,
DUR_231,Duration,,,,,,1.14791666659585,,,,,,,
STAFF_231,FactoryStaff,,,,,,,,,,,,,
RELEASE_231,Release,,,,,,,"gas/vapour/mist/etc release to air
fluid release to ground",,,,,,
FIRE_231,Fire,,,,,,,"pool fire (burning pool of liquid, contained or uncontained)",,,,,,
STORAGEEQUIPMENT_231,StorageEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
SUB_231,HazardSubstance,,,,,,,,,ethylene chlorohydrin - 	107-07-3 -  ,,,,
TOXIC_231,Toxic,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_231,PlantEquipmentFactor,,,,,,,,,,other,,,
ORGANIZATIONFACTOR_231,OrganizationFactor,,,,,,,,,,maintenance/repair,,,
INJ_231,Injury,,,,,,,,,,,5.0,,
ACC_486,Accident,486.0,"Fell of a hot metal ladle, some 20 meters, due to catastrophic rupture of one hook on the lifting beam of a overhead travelling crane",Other Event,Processing of metals,,,,,,,,,
DT_486,DateTime,,,,,2001-02-17 12:15:00,,,,,,,,
DUR_486,Duration,,,,,,1.16666666659876,,,,,,,
CON_486,Contractor,,,,,,,,,,,,True,
SUB_486,HazardSubstance,,,,,,,,,molten cast iron - 7439-89-6 -  ,,,,
INJ_486,Injury,,,,,,,,,,,1.0,,
ACC_1060,Accident,1060.0,Fire at a petrochemical plant,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_1060,DateTime,,,,,2013-07-24 12:00:00,,,,,,,,
DUR_1060,Duration,,,,,,3.0,,,,,,,
STAFF_1060,FactoryStaff,,,,,,,,,,,,,
FIRE_1060,Fire,,,,,,,"pool fire (burning pool of liquid, contained or uncontained)",,,,,,
SUB_1060,HazardSubstance,,,,,,,,,PROPYLENE  - 9003-07-0  - 100.00000,,,,
FLAMMABLE_1060,Flammable,,,,,,,,,,,,,
