src_id,rel_type,tgt_id
ACC_279,OCCURRED_ON,DT_279
ACC_279,LASTED_FOR,DUR_279
STAFF_279,PERFORMED,ACC_279
ACC_279,HAS_OCCURRENCE,RELEASE_279
ACC_279,OCCURRED_AT,TRANSFEREQUIPMENT_279
ACC_279,INVOLVES,SUB_279
PLANTEQUIPMENTFACTOR_279,TRIGGERS,ACC_279
HUMANFACTOR_279,TRIGGERS,ACC_279
ORGANIZATIONFACTOR_279,TRIGGERS,ACC_279
ACC_231,OCCURRED_ON,DT_231
ACC_231,LASTED_FOR,DUR_231
STAFF_231,PERFORMED,ACC_231
ACC_231,HAS_OCCURRENCE,RELEASE_231
ACC_231,HAS_OCCURRENCE,FIRE_231
ACC_231,OCCURRED_AT,STORAGEEQUIPMENT_231
ACC_231,INVOLVES,SUB_231
SUB_231,HAS_HAZARD,TOXIC_231
PLANTEQUIPMENTFACTOR_231,TRIGGERS,ACC_231
ORGANIZATIONFACTOR_231,TRIGGERS,ACC_231
ACC_231,LEADS_TO,INJ_231
ACC_486,OCCURRED_ON,DT_486
ACC_486,LASTED_FOR,DUR_486
CON_486,PERFORMED,ACC_486
ACC_486,INVOLVES,SUB_486
ACC_486,LEADS_TO,INJ_486
ACC_1060,OCCURRED_ON,DT_1060
ACC_1060,LASTED_FOR,DUR_1060
STAFF_1060,PERFORMED,ACC_1060
ACC_1060,HAS_OCCURRENCE,FIRE_1060
ACC_1060,INVOLVES,SUB_1060
SUB_1060,HAS_HAZARD,FLAMMABLE_1060
PLANTEQUIPMENTFACTOR_1060,TRIGGERS,ACC_1060
ACC_259,OCCURRED_ON,DT_259
ACC_259,LASTED_FOR,DUR_259
STAFF_259,PERFORMED,ACC_259
ACC_259,HAS_OCCURRENCE,RELEASE_259
ACC_259,INVOLVES,SUB_259
SUB_259,HAS_HAZARD,TOXIC_259
PLANTEQUIPMENTFACTOR_259,TRIGGERS,ACC_259
ORGANIZATIONFACTOR_259,TRIGGERS,ACC_259
ACC_259,LEADS_TO,INJ_259
ACC_508,OCCURRED_ON,DT_508
ACC_508,LASTED_FOR,DUR_508
STAFF_508,PERFORMED,ACC_508
ACC_508,INVOLVES,SUB_508
SUB_508,HAS_HAZARD,TOXIC_508
ACC_121,OCCURRED_ON,DT_121
ACC_121,LASTED_FOR,DUR_121
STAFF_121,PERFORMED,ACC_121
ACC_121,HAS_OCCURRENCE,EXPLOSION_121
ACC_121,LEADS_TO,FATAL_121
ACC_918,OCCURRED_ON,DT_918
ACC_918,LASTED_FOR,DUR_918
STAFF_918,PERFORMED,ACC_918
ACC_918,HAS_OCCURRENCE,RELEASE_918
ACC_918,INVOLVES,SUB_918
SUB_918,HAS_HAZARD,OXIDIZING_918
PLANTEQUIPMENTFACTOR_918,TRIGGERS,ACC_918
ORGANIZATIONFACTOR_918,TRIGGERS,ACC_918
ACC_2,OCCURRED_ON,DT_2
ACC_2,LASTED_FOR,DUR_2
